item,categ.,weight,intended purpose,actual use,Trip notes
,sleep,2095,4.6,74,
,nourish,1006,2.2,35.5,
,misc,2436,5.4,86.1,
,pack,1340,2.9,47.3,
,clothe,2094,4.6,74,
,,,,,
anticipated weights,#,"g, each",note,,
"gas per day, g",50,50,melt snow every day for 2 liters of boiled water,,
"food per day, kcal",3200,800,assuming 4kcal/g food,,
,,,,,
,,,,,
section,nights,"Cons., g","total starting carried weight, g",notes,
"10 days, about 40 alpine units per day",10,8500,16798,About 40 units per day,
,,0,,,
,,0,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"jacket, zpacks vertice, l",,,,,
"windshirt, zpacks ventum, m",,,,,
"windshirt, zpacks ventum, l",,,,,
"rain mitts, mld, small",,,,,
"gloves, garden thermal",,,,,
"sunglasses, gloryfy, cat 1-3",,,,,
"thermal underpants, icebreaker merino boot-length",,,,,
"thermal underpants, super.natural merino boot-length",,,,,
buffs,,,,,
"pants, arc’teryx",,,,,
"gloves, or work, small ",,,,,
"gloves, uvex polynomic foam, small ",,,,,
"gloves, ee 4oz ap flip-mitts, medium",,,,,
"gloves, ee 2oz ap mitts, large",,,,,
"gloves, bd crag, small",,,,,
"gloves, showa best 282 atlas temres insulated gloves",,,,,
"sandals, xero shoes 3mm",,,,,
"jacket, patagonia das parka, l",,,,,
"jacket, patagonia nano-air light, m",,,,,
"socks, wool, 2-pair",,,,,
"jacket, patagonia das light hoody, m",,,,,
"shirt, long-sleeved patagonia capilene air crew, m ",,,,,
"socks, smartwool, ultrathin, black",,,,,
"socks, smartwool, ultrathin, blue",,,,,
"socks, rbhd vapor barrier, sz 10",,,,,
"socks, mtntools vbl, sz l",,,,,
"buff, patagonia, sun hat",,,,,
"jacket, warbonnet stash",,,,,
"jacket, timmermade sul 1.5, down",,,,,
"jacket, timmermade dcf, m",,,,,
"pants, timmermade dcf",,,,,
"hat, patagonia duck bill trucker",,,,,
"nose-cheek cover, bekogear cheeko l",,,,,
"socks, smartwool, thin",,,,,
"socks, freezer bags, 2-pair",,,,,
"gloves, showa work, rubberized",,,,,
,,,,,
,,,,,
"firesteel, friendly swede",,,,,
"thermos, mont bell alpine thermos 0.5l",,,,,
"bottle, ortlieb, 4l",,,,,
"bottle, platypus, 2l",,,,,
"freezer bag cooker, hmg repack",,,,,
"bottle, nalgene canteen 2l, foldable",,,,,
"bottle, evernew 1.5l, foldable",,,,,
"cook system, td fissure, bot hd 1000ml, alcohol only w/ lighter",,,,,
"cook system, td fissure, toaks 1350ml, alcohol-only w/ lighter",,,,,
"cook system, td fissure, bot hd 1000ml, complete w/ lighter",,,,,
"cook system, td fissure, toaks 1350ml, complete w/ lighter",,,,,
"pot, toaks 1350ml pot with frying pan",,,,,
"stove, toaks siphon stove",,,,,
"stove, trangia alcohol",,,,,
"fuel, 227g canister",,,,,
"fuel, 227g canister, empty",,,,,
"fuel, 450g canister",,,,,
"fuel, 227g canister, empty",,,,,
"fuel, alcohol, 7-days, melting snow",,,,,
,,,,,
"cozy, vargo bot hd",,,,,
"spoon, long-handle, toaks",,,,,
plastic freezer bags ,,,,,
"spoon, long-handle, mld",,,,,
"bottle, ethz tritan, 680ml",,,,,
"bottle, nalgene hdpe 1000ml",,,,,
"lighter, bic, disposable",,,,,
"stove, msr pocket rocket deluxe w/ case",,,,,
"stove system, msr reactor 1.7L",,,,,
"stove system, msr reactor 1.7L w/ bowl",,,,,
"bowl, msr deepdish",,,,,
"stove hanger, msr reactor",,,,,
"bottle, bot hd 1l",,,,,
"coffee press, cafflano kompresso",,,,,
,,,,,
"tent, durston gear DCF x-mid 2",,,,,
"tent, tarptent stratospire li 2p, fly",,,,,
"tent, tarptent stratospire li 2p, solid inner",,,,,
"tarp, 290 x 300cm, nordisk",,,,,
"tent, hmg ultamid 4",,,,,
"tent, hmg ultamid 2",,,,,
"tarp, cuben dcf poncho, mld, 4x9",,,,,
"tarp, cuben dcf, diy, 8.5x8.5",,,,,
"tent stakes, 6 titanium",,,,,
"straps, hmg, 2",,,,,
"tent stakes, gramxpert, 4 titanium",,,,,
"stuff sacks, hmg, l",,,,,
"guy lines, hmg, 80’",,,,,
"bivouac, gramxpert, 1-person",,,,,
"tent stakes, gramxpert 12 titanium w/bag",,,,,
"bivouac, timmermade, 1-person fetal",,,,,
,,,,,
"backpack, hmg ice pack 4400, w/o belt",,,,,
"backpack, hmg ice pack 4400",,,,,
"backpack, hmg prism",,,,,
"backpack lid, hmg prism",,,,,
stuff sacks ,,,,,
"bottle holder, gramxpert, l",,,,,
"stuff sack, hmg roll-top, l",,,,,
"stuff sack, hmg roll-top, m",,,,,
"stuff sack, hmg roll-top, s",,,,,
"stuff pack, hmg",,,,,
"hip belt, hmg w/ pockets",,,,,
"hip belt, hmg w/o pockets",,,,,
"hip belt, timmermade side-bags",,,,,
"side bags, timmermade",,,,,
"zipper bag, hmg",,,,,
"shoulder pocket, hmg",,,,,
,,,,,
,,,,,
"bag, timmermade wren fetal, false bottom, no zipper, -10°c",,,,,
"bag, timmermade winter wren fetal, false bottom, no zipper, -30°c",,,,,
"pad, neoair x-lite womens, w/ bag+repair kit",,,,,
"pad, neoair xtherm m, w/ bag+repair kit",,,,,
"pad cover, ee",,,,,
"pillow stuff sack, med-plus, zpacks",,,,,
"pad, mammut ul, ",,,,,
"pad, thermarest z-seat",,,,,
"balaclava, timmermade, down, -24°c ",,,,,
"quilt, gramxpert elite, wide-long, apex 67, 10°c",,,,,
"quilt, mld spirit poncho, xl, apex 133, 6°c",,,,,
"pants, gramxpert, m-long, apex 133 ",,,,,
"booties, gramxpert, m, apex 133",,,,,
"booties, ee, l, apex 133",,,,,
"balaclava, gramxpert, m, apex 133",,,,,
"pad, evazote 3mm, 52x203cm ",,,,,
"bag liner, gramxpert ",,,,,
"pillow, sea-to-summit aeros ul",,,,,
,,,,,
"poles, komperdell 3-piece",,,,,
"poles, black crows trios",,,,,
"pole, black diamond whippet 3pc sans pick",,,,,
"whippet pick, black diamond whippet pick with guard and phantom bottom pick",,,,,
"boots, dynafit tlt 10, size 28 ",,,,,
"boots, dynafit radical pro, size 27.5",,,,,
"skis, 88mm, dynafit blacklight 88 178cm, speedlight 150, skins",,,,,
"skins, colltex palue 100% mohair for dps tour",,,,,
"ski crampons, dynafit",,,,,
"skis, dps alchemist wailer 112 w/ fritschi tecton, skins",,,,,
"skis, dps pagoda tour c2 106 w/ atk fr14 w/skins",,,,,
"skis, voile objective bc 178cm, ski trab gara titan, hyper glide skins ",,,,,
"skis, voile hypervector bc 177cm, light bindings, hyper glide skins ",,,,,
"skis, k2 wayback 88 176cm, fritschi vipec evo 12, contour mix",,,,,
"helmet, scott couloir s",,,,,
"helmet, petzl sirocco helmet",,,,,
"beacon, bca tracker 2",,,,,
"beacon, pieps micro BT button",,,,,
,,,,,
"boots, scarpa mont blanc gtx pro, 44.5",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"sun stick, la roche-posay anthelios 50+",,,,,
"repair kit, seamgrip, tape, thread+needle",,,,,
"smartphone, sony xperia 10 iii, with casing",,,,,
"charger, microusb + usb-c adapter",,,,,
"first aid, leukotape, bandages, pain pills",,,,,
compass,,,,,
samsplint,,,,,
sunscreen 50spf,,,,,
"straps, g3, 2",,,,,
"bivy, emergency for 2, me",,,,,
"satphone, thuraya xt-lite ",,,,,
"multitool, leatherman skeletool cx",,,,,
"bits minimal, multitool, torx, philips, flathead",,,,,
"case, multitool, leatherman skeletool cx",,,,,
"bits full, multitool, torx, philips, flathead",,,,,
"cordage, 5mm, 1m, for prusik etc.",,,,,
"adhesive, seamgrip/stormsure, 5g",,,,,
"bidet, culoclean",,,,,
pirin-rila maps,,,,,
"multitool, leatherman squirt ps4 ",,,,,
"trowel, the deuce",,,,,
"minibiner, mld, 6",,,,,
"goggles, gloryfy",,,,,
goggles smith,,,,,
,,,,,
"shovel, arva plume",,,,,
"crampons, steel, austrialpin",,,,,
"probe, alu, mammut",,,,,
"probe, alu, voile",,,,,
,,,,,
"power bank, sistech 6200mah",,,,,
"probe, ortovox carbon",,,,,
"shovel, ortovox pro light 2.1",,,,,
"solar panel, sistech 5w flex",,,,,
"goggles, julbo aerospace, band replaced with elastic cord",,,,,
"glasses, oakley jawbreaker",,,,,
"headlamp, petzl swift rl",,,,,
"headlamp, petzl bindi",,,,,
,,,,,
"watch, casio protrek, prw-60t",,,,,
"ice axe, petzl gully",,,,,
"ice axe, petzl sum’tec",,,,,
"ice axe, cassin x-dream",,,,,
"bear spray, walther pro secur 225ml",,,,,
"bear spray holster, walther 225ml",,,,,
"bear spray, walther pro secur 53ml",,,,,
